"","Numero","Bloc","Type","Sp","mod","gf","Weight","AtomPer13C","APE13C","C amount","C concentration"
"250","4","C","NF","D.g.","P","Grass",29.995,1.07562,0.767291666666781,59.26,0.2
"251","40","C","NF","R.a.","L","Forb",29.124,1.0752,0.347291666666694,48.44,0.17
"252","41","C","NF","M.a.","L","Legumes",29.19,1.07544,0.587291666666712,68.15,0.23
"253","42","C","NF","T.p.","L","Legumes",28.074,1.07538,0.527291666666763,65.87,0.23
"254","43","C","NF","L.c.","L","Legumes",30.061,1.07538,0.527291666666763,76.53,0.25
"255","44","C","NF","M.s.","L","Legumes",29.211,1.07439,-0.462708333333284,67.4,0.23
"256","45","C","NF","T.r.","L","Legumes",27.754,1.07582,0.967291666666759,62.18,0.22
"257","46","C","NF",NA,"T","Temoins",28.003,1.07507,0.21729166666673,51.81,0.19
"258","47","C","NF",NA,"T","Temoins",30.609,1.07505,0.197291666666821,72.21,0.24
"259","5","C","NF","H.l.","P","Grass",29.409,1.07549,0.637291666666817,58.54,0.2
"260","6","C","NF","G.v.","P","Forb",31.753,1.076,1.14729166666683,75.17,0.24
"261","7","C","NF","C.r.","P","Forb",30.76,1.07558,0.727291666666741,57.54,0.19
"262","8","C","NF","P.l.","P","Forb",30.545,1.07547,0.617291666666686,60.5,0.2
"263","9","C","NF","C.n.","P","Forb",28.822,1.07534,0.487291666666723,62.79,0.22
