"Numero","Bloc","Sp","mod","gf","Weight","Delta15N","AtomPer15N","N_amount","NperMS","Delta13C","AtomPer13C","C_amount","CperMS","APE15N","APE13C"
"20","C","H.l.","P+L","Grass",2.143,36.276,0.37954,12.31,0.57,-28.46,1.07453,143.57,6.7,118.361666666666,0.733333333333697
"21","C","G.v.","P+L","Forb",2.29,58.046,0.387483,11.43,0.5,-28.43,1.07456,136.6,5.97,197.791666666667,1.03333333333344
"23","C","P.l.","P+L","Forb",1.972,30.74,0.37752,10.45,0.53,-28.66,1.07431,120.44,6.11,98.1616666666668,-1.46666666666517
"24","C","C.n.","P+L","Forb",1.732,14.28,0.371514,10.3,0.59,-28.27,1.07474,117.35,6.78,38.1016666666667,2.83333333333413
"25","C","R.a.","P+L","Forb",1.878,32.926,0.378318,11.58,0.62,-28.39,1.0746,128.47,6.84,106.141666666666,1.43333333333384
"26","C","M.a.","P+L","Legumes",2.084,32.723,0.378244,12.18,0.58,-27.43,1.07566,151.62,7.28,105.401666666667,12.0333333333345
"27","C","T.p.","P+L","Legumes",2.051,36.787,0.379727,13.54,0.66,-28.45,1.07454,158.51,7.73,120.231666666666,0.833333333334352
"28","C","L.c.","P+L","Legumes",1.849,45.32,0.38284,10.64,0.58,-28.37,1.07463,121.11,6.55,151.361666666667,1.73333333333359
"29","C","M.s.","P+L","Legumes",1.943,26.641,0.376025,11.27,0.58,-26.97,1.07616,119.25,6.14,83.2116666666666,17.0333333333339
"30","C","T.r.","P+L","Legumes",2.233,39.444,0.380696,11.38,0.51,-28.66,1.07432,140.38,6.29,129.921666666666,-1.36666666666674
"32","C","F.o.","L","Grass",1.893,23.84,0.375003,11.06,0.58,-28.88,1.07407,124.13,6.56,72.9916666666663,-3.86666666666535
"33","C","A.o.","L","Grass",2.051,33.337,0.378468,12.2,0.59,-28.68,1.07429,138.43,6.75,107.641666666667,-1.66666666666648
"34","C","D.g.","L","Grass",2.184,34.609,0.378932,11.38,0.52,-28.49,1.07449,135.58,6.21,112.281666666667,0.333333333333297
"35","C","H.l.","L","Grass",2.071,38.619,0.380395,10.28,0.5,-28.45,1.07454,122.18,5.9,126.911666666666,0.833333333334352
"36","C","G.v.","L","Forb",2.223,43.165,0.382054,11.07,0.5,-28.33,1.07467,134.04,6.03,143.501666666667,2.13333333333399
"38","C","P.l.","L","Forb",2.362,72.564,0.392779,12.62,0.53,-28.59,1.07438,149.99,6.35,250.751666666666,-0.766666666667248
"39","C","C.n.","L","Forb",1.975,26.133,0.375839,11.53,0.58,-28.76,1.07421,131.61,6.66,81.3516666666664,-2.46666666666506
"40","C","R.a.","L","Forb",2.262,25.153,0.375482,11.09,0.49,-28.5,1.07449,131.25,5.8,77.7816666666664,0.333333333333297
"41","C","M.a.","L","Legumes",1.973,35.948,0.379421,11.37,0.58,-28.53,1.07446,132.74,6.73,117.171666666667,0.0333333333335517
"42","C","T.p.","L","Legumes",1.92,51.6,0.385131,11.59,0.6,-28.88,1.07407,128.34,6.68,174.271666666667,-3.86666666666535
"43","C","L.c.","L","Legumes",1.963,38.392,0.380312,11.54,0.59,-28.69,1.07428,132.95,6.77,126.081666666666,-1.76666666666714
"44","C","M.s.","L","Legumes",2.279,29.097,0.376921,13.11,0.58,-28.62,1.07435,151.31,6.64,92.1716666666667,-1.06666666666699
"45","C","T.r.","L","Legumes",2.12,44.392,0.382501,12.11,0.57,-28.57,1.07441,139.44,6.58,147.971666666666,-0.466666666665283
"46","C",NA,"T","Temoins",2.264,2.496,0.367214,13.05,0.58,-28.69,1.07428,149.5,6.6,-4.89833333333356,-1.76666666666714
"47","C",NA,"T","Temoins",1.882,2.198,0.367105,10.95,0.58,-28.65,1.07432,123.55,6.57,-5.98833333333326,-1.36666666666674
