Numero,Bloc,mod,gf,Sp,N_tot_ep,N_tot_hem,N_tot_gam,NbJuv_Ep,NbJuv_Hem,PerJuv_Ep,PerJuv_Hem,Lcya Ad,Lcya Juv,Dorn Ad,Dorn Juv,Bhor Ad,Bhor Juv,Isp Ad,Isp Juv,Sele Ad,Sele Juv,Eniv Ad,Eniv Juv,Svir Ad,Svir Juv,Afus Ad,Afus Juv
26,C,P+L,Legumes,M.a.,12,203,16,7,262,0.583,0.879,3,5,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,C,P+L,Legumes,T.p.,21,66,20,15,NA,0.714,NA,6,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,C,P+L,Legumes,L.c.,3,102,1,2,65,0.667,0.637,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,C,P+L,Legumes,M.s.,6,5,4,3,NA,0.75,NA,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,C,P+L,Legumes,T.r.,3,38,6,3,NA,1,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,C,L,Grass,F.o.,0,10,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,C,L,Grass,A.o.,3,1,3,2,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA
34,C,L,Grass,D.g.,1,44,0,1,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35,C,L,Grass,H.l.,4,46,0,2,NA,0.5,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,C,L,Forb,G.v.,5,6,2,3,NA,0.6,NA,1,3,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
38,C,L,Forb,P.l.,0,2,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39,C,L,Forb,C.n.,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,C,L,Forb,R.a.,1,7,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,C,L,Legumes,M.a.,0,10,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,C,L,Legumes,T.p.,2,52,8,1,NA,0.5,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43,C,L,Legumes,L.c.,5,7,2,3,NA,0.6,NA,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,C,L,Legumes,M.s.,2,2,2,1,NA,0.5,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45,C,L,Legumes,T.r.,0,36,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,C,T,Temoins, ,0,9,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47,C,T,Temoins, ,4,0,2,2,NA,0.5,NA,NA,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
