"Numero","Bloc","Type","Sp","mod","gf","AtomPer15N","AtomPer13C","baseline.13C","baseline.15N","APE15Nppm","APE13Cppm"
"45","C","F","T.r.","L","Legumes",0.455933,1.07608,1.07642837209302,0.36976428,861.6872,NA
"46","C","F",NA,"T","Temoins",0.369468,1.07622,1.07642837209302,0.36976428,NA,NA
"47","C","F",NA,"T","Temoins",0.369577,1.07594,1.07642837209302,0.36976428,NA,NA
"5","C","F","H.l.","P","Grass",0.369539,1.07968,1.07642837209302,0.36976428,NA,32.5162790697675
"6","C","F","G.v.","P","Forb",0.36964,1.09366,1.07642837209302,0.36976428,NA,172.316279069769
"7","C","F","C.r.","P","Forb",0.369994,1.08028,1.07642837209302,0.36976428,2.29719999999989,38.5162790697668
"8","C","F","P.l.","P","Forb",0.36972,1.08333,1.07642837209302,0.36976428,NA,69.0162790697668
"9","C","F","C.n.","P","Forb",0.369495,1.08094,1.07642837209302,0.36976428,NA,45.1162790697679
"1","C","NF","N.s.","P","Grass",0.370722,1.07589,1.075631875,0.371056875,NA,2.58124999999998
"10","C","NF","R.a.","P","Forb",0.369927,1.07655,1.075631875,0.371056875,NA,9.18124999999881
"11","C","NF","M.a.","P","Legumes",NA,NA,1.075631875,0.371056875,NA,NA
"12","C","NF","T.p.","P","Legumes",0.369712,1.07564,1.075631875,0.371056875,NA,0.0812499999991445
"13","C","NF","L.c.","P","Legumes",0.369279,1.07564,1.075631875,0.371056875,NA,0.0812499999991445
"14","C","NF","M.s.","P","Legumes",0.369751,1.07603,1.075631875,0.371056875,NA,3.98125000000027
"15","C","NF","T.r.","P","Legumes",0.369688,1.07539,1.075631875,0.371056875,NA,NA
"17","C","NF","F.o.","P+L","Grass",0.393484,1.07605,1.075631875,0.371056875,224.27125,4.18124999999936
"18","C","NF","A.o.","P+L","Grass",0.413146,1.07687,1.075631875,0.371056875,420.89125,12.3812499999998
"19","C","NF","D.g.","P+L","Grass",0.390285,1.07529,1.075631875,0.371056875,192.28125,NA
"2","C","NF","F.o.","P","Grass",0.376862,1.07566,1.075631875,0.371056875,58.0512499999997,0.281250000000455
"20","C","NF","H.l.","P+L","Grass",0.418553,1.07568,1.075631875,0.371056875,474.96125,0.481249999999545
"21","C","NF","G.v.","P+L","Forb",0.389975,1.07546,1.075631875,0.371056875,189.18125,NA
"23","C","NF","P.l.","P+L","Forb",0.392808,1.07556,1.075631875,0.371056875,217.51125,NA
"24","C","NF","C.n.","P+L","Forb",0.379019,1.07671,1.075631875,0.371056875,79.6212499999999,10.7812500000004
"24","C","NF","C.n.","P+L","Forb",0.450991,1.0769,1.075631875,0.371056875,799.34125,12.6812499999995
"25","C","NF","R.a.","P+L","Forb",0.401514,1.07588,1.075631875,0.371056875,304.57125,2.48124999999932
"26","C","NF","M.a.","P+L","Legumes",0.400117,1.07881,1.075631875,0.371056875,290.60125,31.7812500000003
"27","C","NF","T.p.","P+L","Legumes",0.412701,1.07755,1.075631875,0.371056875,416.44125,19.1812499999999
"28","C","NF","L.c.","P+L","Legumes",0.397498,1.07831,1.075631875,0.371056875,264.41125,26.7812500000009
"29","C","NF","M.s.","P+L","Legumes",0.404014,1.07926,1.075631875,0.371056875,329.57125,36.2812500000009
"3","C","NF","A.o.","P","Grass",0.371275,1.07569,1.075631875,0.371056875,2.18125000000013,0.5812500000002
"30","C","NF","T.r.","P+L","Legumes",0.398166,1.07756,1.075631875,0.371056875,271.09125,19.2812500000006
"32","C","NF","F.o.","L","Grass",0.399499,1.0752,1.075631875,0.371056875,284.42125,NA
"33","C","NF","A.o.","L","Grass",0.424105,1.07455,1.075631875,0.371056875,530.48125,NA
"34","C","NF","D.g.","L","Grass",0.41963,1.07587,1.075631875,0.371056875,485.73125,2.38125000000089
"35","C","NF","H.l.","L","Grass",0.413166,1.07624,1.075631875,0.371056875,421.09125,6.0812500000007
