Numero;Bloc;Sp;mod;gf;nlabel.recovered;Type;Label13CPerG_Soil;prop.label.recovered
17;A;F.o.;P+L;Grass;129,8082209648831;Shoot;1,00809501429740e+02;7,76603366723687e-01
17;A;F.o.;P+L;Grass;129,8082209648831;Root;2,89967246619966e+01;2,23381265427257e-01
17;A;F.o.;P+L;Grass;129,8082209648831;Soil.F;1,99487314606786e-03;1,53678490563979e-05
17;A;F.o.;P+L;Grass;129,8082209648831;Soil.NF;6,83065901730758e-05;5,26211588644719e-07
17;B;F.o.;P+L;Grass;905,3489597043003;Shoot;7,00733293203589e+02;7,73992487308384e-01
17;B;F.o.;P+L;Grass;905,3489597043003;Root;2,04609304396587e+02;2,26000485451947e-01
17;B;F.o.;P+L;Grass;905,3489597043003;Soil.F;6,36210412433724e-03;7,02723966945872e-06
17;B;F.o.;P+L;Grass;905,3489597043003;Soil.NF;1,61997052128951e-04;1,78933272516115e-07
17;C;F.o.;P+L;Grass;530,8203311705058;Shoot;4,22494995993341e+02;7,95928436014692e-01
17;C;F.o.;P+L;Grass;530,8203311705058;Root;1,08322273201968e+02;2,04065795601890e-01
17;C;F.o.;P+L;Grass;530,8203311705058;Soil.F;3,06197519650533e-03;5,76838341845989e-06
17;C;F.o.;P+L;Grass;530,8203311705058;Soil.NF;3,09640052784802e-04;5,83323649457845e-07
18;A;A.o.;P+L;Grass;331,4615945015977;Shoot;2,40366007377140e+02;7,25170008726249e-01
18;A;A.o.;P+L;Grass;331,4615945015977;Root;9,10955871244575e+01;2,74829991273751e-01
18;A;A.o.;P+L;Grass;331,4615945015977;Soil.F;0,00000000000000e+00;0,00000000000000e+00
18;A;A.o.;P+L;Grass;331,4615945015977;Soil.NF;1,89069149484560e-04;5,70410426489542e-07
18;B;A.o.;P+L;Grass;555,5335471986118;Shoot;4,84406080340402e+02;8,71965487562571e-01
18;B;A.o.;P+L;Grass;555,5335471986118;Root;7,11218258878008e+01;1,28024358288436e-01
18;B;A.o.;P+L;Grass;555,5335471986118;Soil.F;5,64097040885219e-03;1,01541489929778e-05
18;B;A.o.;P+L;Grass;555,5335471986118;Soil.NF;1,97510031183049e-04;3,55532140550346e-07
18;C;A.o.;P+L;Grass;1028,4186417479484;Shoot;7,06848098471871e+02;6,87315524804644e-01
18;C;A.o.;P+L;Grass;1028,4186417479484;Root;3,21563370928593e+02;3,12677501043786e-01
18;C;A.o.;P+L;Grass;1028,4186417479484;Soil.F;7,17234748455513e-03;6,97415156960270e-06
18;C;A.o.;P+L;Grass;1028,4186417479484;Soil.NF;4,78467969877241e-04;4,65246301899015e-07
19;A;D.g.;P+L;Grass;320,9177110660152;Shoot;2,96385285167828e+02;9,23555400489752e-01
19;A;D.g.;P+L;Grass;320,9177110660152;Root;2,45308023374198e+01;7,64395403916289e-02
19;A;D.g.;P+L;Grass;320,9177110660152;Soil.F;1,62356076727652e-03;5,05911861917318e-06
19;A;D.g.;P+L;Grass;320,9177110660152;Soil.NF;1,93428021837889e-04;6,02734019245512e-07
19;B;D.g.;P+L;Grass;650,4916315281803;Shoot;6,10251595764303e+02;9,38139041590216e-01
19;B;D.g.;P+L;Grass;650,4916315281803;Root;4,02359923157419e+01;6,18547424218459e-02
19;B;D.g.;P+L;Grass;650,4916315281803;Soil.F;4,04344813548858e-03;6,21598793821440e-06
19;B;D.g.;P+L;Grass;650,4916315281803;Soil.NF;1,35489051892698e-04;2,08287155938344e-07
19;C;D.g.;P+L;Grass;419,3627594015348;Shoot;3,38551570540982e+02;8,07300035473163e-01
19;C;D.g.;P+L;Grass;419,3627594015348;Root;8,08085584257685e+01;1,92693692070057e-01
19;C;D.g.;P+L;Grass;419,3627594015348;Soil.F;2,63043478377166e-03;6,27245678067720e-06
19;C;D.g.;P+L;Grass;419,3627594015348;Soil.NF;1,27869318352567e-04;3,04913384619673e-07
20;A;H.l.;P+L;Grass;172,4261190692008;Shoot;1,72424475364401e+02;9,99990467193668e-01
20;A;H.l.;P+L;Grass;172,4261190692008;Root;0,00000000000000e+00;0,00000000000000e+00
20;A;H.l.;P+L;Grass;172,4261190692008;Soil.F;1,64370479971941e-03;9,53280633231516e-06
20;A;H.l.;P+L;Grass;172,4261190692008;Soil.NF;0,00000000000000e+00;0,00000000000000e+00
20;B;H.l.;P+L;Grass;486,6976010068676;Shoot;4,64507013501550e+02;9,54405800522932e-01
20;B;H.l.;P+L;Grass;486,6976010068676;Root;2,21793555182883e+01;4,55711215185860e-02
20;B;H.l.;P+L;Grass;486,6976010068676;Soil.F;1,12319870292509e-02;2,30779584818467e-05
20;B;H.l.;P+L;Grass;486,6976010068676;Soil.NF;NA;NA
20;C;H.l.;P+L;Grass;397,7945637769964;Shoot;3,79419529359462e+02;9,53807728685213e-01
20;C;H.l.;P+L;Grass;397,7945637769964;Root;1,83729275127741e+01;4,61869748503501e-02
20;C;H.l.;P+L;Grass;397,7945637769964;Soil.F;2,10690476039910e-03;5,29646443730747e-06
20;C;H.l.;P+L;Grass;397,7945637769964;Soil.NF;1,75858853138205e-04;4,42084606356740e-07
21;A;G.v.;P+L;Forb;103,2336840120742;Shoot;9,61730723910381e+01;9,31605544366601e-01
21;A;G.v.;P+L;Forb;103,2336840120742;Root;7,06007057167594e+00;6,83892146176842e-02
21;A;G.v.;P+L;Forb;103,2336840120742;Soil.F;5,41049360198980e-04;5,24101571475158e-06
21;A;G.v.;P+L;Forb;103,2336840120742;Soil.NF;5,92481360809044e-04;5,73922520036917e-06
21;B;G.v.;P+L;Forb;410,1560174688480;Shoot;3,05265679948182e+02;7,44267222585288e-01
21;B;G.v.;P+L;Forb;410,1560174688480;Root;1,04883113008575e+02;2,55715163356201e-01
21;B;G.v.;P+L;Forb;410,1560174688480;Soil.F;7,22451209033946e-03;1,76140585110108e-05
21;B;G.v.;P+L;Forb;410,1560174688480;Soil.NF;1,73117095433562e-05;4,22076205298416e-08
21;C;G.v.;P+L;Forb;281,6093561362886;Shoot;2,43167435594326e+02;8,63492033541107e-01
21;C;G.v.;P+L;Forb;281,6093561362886;Root;3,84372114902442e+01;1,36491244529681e-01
21;C;G.v.;P+L;Forb;281,6093561362886;Soil.F;4,70905171871599e-03;1,67219292118866e-05
21;C;G.v.;P+L;Forb;281,6093561362886;Soil.NF;1,16512161965411e-04;4,13736828789961e-07
23;A;P.l.;P+L;Forb;109,2460013586276;Shoot;1,04845633854356e+02;9,59720562313062e-01
