"Numero","Bloc","Sp","mod","gf","Group","Delta15N","AtomPer15N","N_amount","NperMS","Delta13C","AtomPer13C","C_amount","CperMS","Delta13C_cor","Type","APE15N","APE13C"
"3","B","A.o.","P","Grass","epi",18.5675,0.373078843,0.110344723,0.134566735,-18.08037538,1.085518698,4.741737239,5.782606389,-17.31632883,"epi",-58.1057933333334,73.0676166666666
"3","B","A.o.","P","Grass","epi",13.3835,0.371187106,0.278519528,-27.85195285,-19.71788538,1.083801278,4.005419192,-400.5419192,-18.9253656,"epi",-77.0231633333335,55.8934166666658
"3","B","A.o.","P","Grass","epi",13.3835,0.371187106,0.278519528,-27.85195285,-19.71788538,1.083801278,4.005419192,-400.5419192,-18.9253656,"epi",-77.0231633333335,55.8934166666658
"3","B","A.o.","P","Grass","epi",13.3835,0.371187106,0.278519528,-27.85195285,-19.71788538,1.083801278,4.005419192,-400.5419192,-18.9253656,"epi",-77.0231633333335,55.8934166666658
"4","B","D.g.","P","Grass","epi",5.5205,0.368317616,2.493780958,13.12516293,-19.10355838,1.084445591,11.56073038,60.84594935,-19.03462309,"epi",-105.718063333333,62.3365466666659
"4","B","D.g.","P","Grass","epi",5.5205,0.368317616,2.493780958,13.12516293,-19.10355838,1.084445591,11.56073038,60.84594935,-19.03462309,"epi",-105.718063333333,62.3365466666659
"4","B","D.g.","P","Grass","epi",5.5205,0.368317616,2.493780958,13.12516293,-19.10355838,1.084445591,11.56073038,60.84594935,-19.03462309,"epi",-105.718063333333,62.3365466666659
"5","B","H.l.","P","Grass","epi",34.1115,0.378750704,2.643955565,-5.747729489,21.20213363,1.126700314,14.72680884,-32.01480182,21.16966253,"epi",-1.38718333333343,484.883776666667
"5","B","H.l.","P","Grass","epi",34.1115,0.378750704,2.643955565,-5.747729489,21.20213363,1.126700314,14.72680884,-32.01480182,21.16966253,"epi",-1.38718333333343,484.883776666667
"5","B","H.l.","P","Grass","epi",34.1115,0.378750704,2.643955565,-5.747729489,21.20213363,1.126700314,14.72680884,-32.01480182,21.16966253,"epi",-1.38718333333343,484.883776666667
"5","B","H.l.","P","Grass","epi",26.1255,0.375836768,1.312879483,32.82198707,-7.772406375,1.096328323,10.05307885,251.3269713,-7.423414794,"epi",-30.5265433333335,181.163866666667
"5","B","H.l.","P","Grass","epi",26.1255,0.375836768,1.312879483,32.82198707,-7.772406375,1.096328323,10.05307885,251.3269713,-7.423414794,"epi",-30.5265433333335,181.163866666667
"5","B","H.l.","P","Grass","epi",26.1255,0.375836768,1.312879483,32.82198707,-7.772406375,1.096328323,10.05307885,251.3269713,-7.423414794,"epi",-30.5265433333335,181.163866666667
"8","B","P.l.","P","Forb","epi",40.0585,0.380920539,1.817219439,20.1913271,16.20199163,1.121460346,8.637287777,95.96986419,17.47383965,"epi",20.3111666666667,432.484096666668
"8","B","P.l.","P","Forb","epi",40.0585,0.380920539,1.817219439,20.1913271,16.20199163,1.121460346,8.637287777,95.96986419,17.47383965,"epi",20.3111666666667,432.484096666668
"8","B","P.l.","P","Forb","epi",40.0585,0.380920539,1.817219439,20.1913271,16.20199163,1.121460346,8.637287777,95.96986419,17.47383965,"epi",20.3111666666667,432.484096666668
"8","B","P.l.","P","Forb","epi",29.3825,0.377025205,0.34232615,-17.11630749,-19.66260638,1.083859255,3.414993428,-170.7496714,-18.63879161,"epi",-18.6421733333336,56.4731866666657
"8","B","P.l.","P","Forb","epi",29.3825,0.377025205,0.34232615,-17.11630749,-19.66260638,1.083859255,3.414993428,-170.7496714,-18.63879161,"epi",-18.6421733333336,56.4731866666657
"8","B","P.l.","P","Forb","epi",29.3825,0.377025205,0.34232615,-17.11630749,-19.66260638,1.083859255,3.414993428,-170.7496714,-18.63879161,"epi",-18.6421733333336,56.4731866666657
"9","B","C.n.","P","Forb","epi",6.3145,0.368607383,0.16557288,-2.36532686,-27.46946138,1.075670617,2.237618704,-31.96598148,-27.93633927,"epi",-102.820393333333,-25.4131933333324
"9","B","C.n.","P","Forb","epi",6.3145,0.368607383,0.16557288,-2.36532686,-27.46946138,1.075670617,2.237618704,-31.96598148,-27.93633927,"epi",-102.820393333333,-25.4131933333324
"9","B","C.n.","P","Forb","epi",6.3145,0.368607383,0.16557288,-2.36532686,-27.46946138,1.075670617,2.237618704,-31.96598148,-27.93633927,"epi",-102.820393333333,-25.4131933333324
"9","B","C.n.","P","Forb","epi",34.7775,0.378993707,0.907395756,6.979967356,-24.90576738,1.078359835,7.43094701,57.16113085,-24.86769917,"epi",1.04284666666676,1.47898666666757
