Numero;Bloc;Sp;gf;mod;Group;gBiomPerM2;MN.perM2
21;B;G.v.;Forbs;P+L;Gpos;38,44694052747816;414232519,885848403
23;B;P.l.;Forbs;P+L;AMF;56,60915898470139;311711037,088262677
23;B;P.l.;Forbs;P+L;SaproF;81,47269490249789;645658597,140697598
23;B;P.l.;Forbs;P+L;Gneg;21,14064396844707;237756185,421784967
23;B;P.l.;Forbs;P+L;Gpos;31,74282826460498;536026966,396667004
24;B;C.n.;Forbs;P+L;AMF;65,12394217811196;419583112,039363742
24;B;C.n.;Forbs;P+L;SaproF;83,64850806787766;692234172,324452400
24;B;C.n.;Forbs;P+L;Gneg;23,11840657806147;284009463,243657112
24;B;C.n.;Forbs;P+L;Gpos;34,89683613636694;647126410,756923318
25;B;R.a.;Forbs;P+L;AMF;42,16089963758926;134224475,161523044
25;B;R.a.;Forbs;P+L;SaproF;118,03080056326255;1051968368,733263254
25;B;R.a.;Forbs;P+L;Gneg;16,88704005837364;166220942,397401989
25;B;R.a.;Forbs;P+L;Gpos;26,58132362081300;411843180,255657196
26;B;M.a.;Leg;P+L;AMF;36,51631832224701;528344946,218050480
26;B;M.a.;Leg;P+L;SaproF;68,60096135399574;1864678625,949697256
26;B;M.a.;Leg;P+L;Gneg;13,50576833972031;488489624,170132756
26;B;M.a.;Leg;P+L;Gpos;19,07046968370126;973956431,755166292
27;B;T.p.;Leg;P+L;AMF;70,50253020374588;194972202,742557555
27;B;T.p.;Leg;P+L;SaproF;123,69318997955405;600143174,867346525
27;B;T.p.;Leg;P+L;Gneg;27,73822804723532;174001139,787625432
27;B;T.p.;Leg;P+L;Gpos;42,81359821092263;414532058,024784803
28;B;L.c.;Leg;P+L;AMF;64,71355658930848;346197028,682245374
28;B;L.c.;Leg;P+L;SaproF;86,43563783379734;617615918,014533758
28;B;L.c.;Leg;P+L;Gneg;23,66217045084633;249103019,868293494
28;B;L.c.;Leg;P+L;Gpos;35,16375634884257;550123705,762135625
29;B;M.s.;Leg;P+L;AMF;43,12054396904694;159518107,265671462
29;B;M.s.;Leg;P+L;SaproF;102,30723952156373;897954351,482037544
29;B;M.s.;Leg;P+L;Gneg;22,14978738998735;274445336,919960737
29;B;M.s.;Leg;P+L;Gpos;24,56691261344814;337612015,281192660
30;B;T.r.;Leg;P+L;AMF;46,30022803000368;295686732,649493992
30;B;T.r.;Leg;P+L;SaproF;79,99630963770585;882684466,484288335
30;B;T.r.;Leg;P+L;Gneg;23,20286756470301;406763050,554485261
30;B;T.r.;Leg;P+L;Gpos;25,09176080050713;475686088,717303872
32;B;F.o.;Grass;L;AMF;77,68903609288816;216581,394029309
32;B;F.o.;Grass;L;SaproF;87,84425101370790;521550647,140765965
32;B;F.o.;Grass;L;Gneg;29,46980889636663;142226088,372462243
32;B;F.o.;Grass;L;Gpos;46,50373226268088;354160600,916305125
33;B;A.o.;Grass;L;AMF;58,95560962010730;144781,864996850
33;B;A.o.;Grass;L;SaproF;90,47340502854186;562922212,527286649
33;B;A.o.;Grass;L;Gneg;22,55296142169364;111037065,638048649
33;B;A.o.;Grass;L;Gpos;37,16953961425070;301602672,854347169
34;B;D.g.;Grass;L;AMF;36,62542819092666;249325,534303013
34;B;D.g.;Grass;L;SaproF;52,44589243724972;867904805,602539897
34;B;D.g.;Grass;L;Gneg;18,35751621609680;282323753,834979951
34;B;D.g.;Grass;L;Gpos;23,03479035460299;444516725,818146050
35;B;H.l.;Grass;L;AMF;66,80225819480565;179983,395078479
35;B;H.l.;Grass;L;SaproF;96,81358926797596;638608194,363107443
35;B;H.l.;Grass;L;Gneg;24,80609583082853;132314335,764705360
35;B;H.l.;Grass;L;Gpos;39,47531949503165;335074496,760562181
36;B;G.v.;Forbs;L;AMF;48,61992602805330;167643,378380943
36;B;G.v.;Forbs;L;SaproF;82,42717201224970;765763156,077530861
36;B;G.v.;Forbs;L;Gneg;19,83565953230125;143049144,393207490
36;B;G.v.;Forbs;L;Gpos;33,70617275363989;413057829,559672236
38;B;P.l.;Forbs;L;AMF;67,42934233308718;186175,354553237
38;B;P.l.;Forbs;L;SaproF;88,80068254298533;567829124,913766384
38;B;P.l.;Forbs;L;Gneg;24,90503659588787;122269214,209992900
38;B;P.l.;Forbs;L;Gpos;43,06947089571477;365663680,074060917
39;B;C.n.;Forbs;L;AMF;79,58412252795051;152740,660031661
39;B;C.n.;Forbs;L;SaproF;96,64100458951081;410520541,453029990
39;B;C.n.;Forbs;L;Gneg;29,20669743964931;100328869,757730573
39;B;C.n.;Forbs;L;Gpos;46,47808957077468;254072437,146581650
40;B;R.a.;Forbs;L;AMF;53,97062694616304;170887,436823045
40;B;R.a.;Forbs;L;SaproF;81,12954666799591;642771536,377678752
40;B;R.a.;Forbs;L;Gneg;20,17419602581700;124762831,063621312
40;B;R.a.;Forbs;L;Gpos;33,98327138038693;354016183,256250679
41;B;M.a.;Leg;L;AMF;69,35519575283055;175920,531781534
41;B;M.a.;Leg;L;SaproF;76,63826237604579;409007439,026293695
41;B;M.a.;Leg;L;Gneg;27,10793609343681;117319426,644044235
41;B;M.a.;Leg;L;Gpos;42,94315015401403;294418316,250563204
42;B;T.p.;Leg;L;AMF;67,04083489112820;181053,692007285
42;B;T.p.;Leg;L;SaproF;80,41505194759590;477452885,514221847
42;B;T.p.;Leg;L;Gneg;23,91719901027629;109828241,543225765
42;B;T.p.;Leg;L;Gpos;40,88612083772528;320955787,579403341
43;B;L.c.;Leg;L;AMF;73,71061815004417;224823,890397776
43;B;L.c.;Leg;L;SaproF;91,44779092493491;624686889,988834023
43;B;L.c.;Leg;L;Gneg;27,48768489843636;150584596,192243069
43;B;L.c.;Leg;L;Gpos;44,33783860232101;391789919,394544840
44;B;M.s.;Leg;L;AMF;72,17155722274535;208461,091283216
44;B;M.s.;Leg;L;SaproF;85,63910297985889;540633110,282133460
44;B;M.s.;Leg;L;Gneg;27,40791057286629;140939793,197179139
44;B;M.s.;Leg;L;Gpos;43,10155083736596;348551989,759061337
45;B;T.r.;Leg;L;AMF;60,11483670972253;252455,788493912
45;B;T.r.;Leg;L;SaproF;74,03279359257262;693480846,671824694
45;B;T.r.;Leg;L;Gneg;22,60234404708805;172865562,580003351
45;B;T.r.;Leg;L;Gpos;35,40773430021357;424226502,480832577
46;B;NA;NA;T;AMF;60,82792205536278;192833,438205828
46;B;NA;NA;T;SaproF;65,37466206295977;429778527,186075211
46;B;NA;NA;T;Gneg;22,65565250655013;113906156,544061080
46;B;NA;NA;T;Gpos;39,42418348738341;344920862,349576771
47;B;NA;NA;T;AMF;61,74602215458044;188860,542281476
47;B;NA;NA;T;SaproF;75,12580685199241;509132146,565722704
47;B;NA;NA;T;Gneg;30,43605622381303;190822690,023654431
47;B;NA;NA;T;Gpos;38,50597174779104;305428411,959341884
1;C;N.s.;Grass;P;AMF;37,46627368421056;341016748,275833905
1;C;N.s.;Grass;P;SaproF;51,61735231696266;647271006,969051123
1;C;N.s.;Grass;P;Gneg;18,40871873300274;390378291,161257148
1;C;N.s.;Grass;P;Gpos;20,94212390550847;505219359,442887068
2;C;F.o.;Grass;P;AMF;28,48615044198137;261429219,114872843
2;C;F.o.;Grass;P;SaproF;49,57835548679910;791900893,168990612
2;C;F.o.;Grass;P;Gneg;11,51746029344395;238241624,777088970
2;C;F.o.;Grass;P;Gpos;17,81415616534255;569947306,034453034
3;C;A.o.;Grass;P;AMF;22,04510229086055;76323282,109641656
3;C;A.o.;Grass;P;SaproF;83,90695297539062;1105678085,121291161
3;C;A.o.;Grass;P;Gneg;20,59835396496733;296143718,479185104
3;C;A.o.;Grass;P;Gpos;29,33660229693484;600699289,456804991
4;C;D.g.;Grass;P;AMF;32,20894816047568;334785682,213714540
4;C;D.g.;Grass;P;SaproF;51,36452754514767;851413215,641968608
4;C;D.g.;Grass;P;Gneg;11,54979225422911;258062439,495169133
4;C;D.g.;Grass;P;Gpos;17,65174946832782;602770462,974585295
5;C;H.l.;Grass;P;AMF;27,39475411464680;547511385,586863756
5;C;H.l.;Grass;P;SaproF;39,84330967865301;1158161583,774740458
5;C;H.l.;Grass;P;Gneg;10,06626397420115;407938981,627533376
5;C;H.l.;Grass;P;Gpos;15,45574995219650;961698067,526943088
6;C;G.v.;Forbs;P;AMF;27,55860988795811;NA
6;C;G.v.;Forbs;P;SaproF;41,85334830475448;NA
6;C;G.v.;Forbs;P;Gneg;9,85379937250529;NA
6;C;G.v.;Forbs;P;Gpos;15,42431317343909;NA
