Numero,Bloc,Sp,mod,gf,µgCperGsoil,APE13Cppm,APE15Nppm,avail.rhizodep.µgCperGsoil,avail.litter.µgCperGsoil,avail.SOM.µgCperGsoil
42,C,T.p.,L,Legumes,75.64,0,618.89125,0,4.961456511131621,70.67854348886839
43,A,L.c.,L,Legumes,56.9,0,755.166111111111,0,22.25770271505262,34.642297284947375
43,B,L.c.,L,Legumes,55.28,0,691.815,0,9.226173639470646,46.05382636052936
43,C,L.c.,L,Legumes,92.9,0,837.45125,0,7.570668624376019,85.32933137562398
44,A,M.s.,L,Legumes,52.34,0,390.146111111112,0,11.790461724568951,40.549538275431054
44,B,M.s.,L,Legumes,63.02,0,511.305,0,18.191304825606252,44.82869517439375
44,C,M.s.,L,Legumes,79.24,0,581.00125,0,4.079888447520842,75.16011155247915
45,A,T.r.,L,Legumes,67.34,0,569.076111111111,0,21.11089027376437,46.229109726235635
45,B,T.r.,L,Legumes,55.6,0,840.045,0,3.419084815233451,52.18091518476655
45,C,T.r.,L,Legumes,79.34,0,837.61125,0,5.0643208461640725,74.27567915383594
46,A,NA,T,Temoins,137.74,0,0,0,0,137.74
46,B,NA,T,Temoins,50.1,0,0,0,0,50.1
46,C,NA,T,Temoins,64.8,0,0,0,0,64.8
47,A,NA,T,Temoins,59.98,0,0,0,0,59.98
47,B,NA,T,Temoins,44.78,0,0,0,0,44.78
47,C,NA,T,Temoins,85.26,0,0,0,0,85.26
