;;;;; (µgC/gsol); (µgN/gsol); (µgN/gsol);(µgN/gsol);ppm/h/gsol ;;µgN/gsol/h; (µgC/gsol); (µgC/gsol); (µgN/gsol); (µgN/gsol);
Numero;Bloc;Sp;gf;mod;C_micro;N_micro;DIN;TDN ;Respi_sol;pH;N_net_min;C_NF;C_F;N_NF;N_F;
20;B;H.l.;Grass;P+L;352,28;83,14;2,523152709;11,29110837;12,37;6,69;0,059294089;72,32;424,6;11,29;94,43;
21;B;G.v.;Forbs;P+L;325,84;64,66;1,478313253;7,970036668;8,73;6,26;0,062731902;57,16;383;7,97;72,63;
23;B;P.l.;Forbs;P+L;301,96;59,38;1,687867975;8,740744871;10,31;6,02;0,086322391;64,44;366,4;8,74;68,12;
24;B;C.n.;Forbs;P+L;326,72;61,52;1,629148566;8,74913119;13,24;6,14;0,116333275;66,08;392,8;8,75;70,26;
25;B;R.a.;Forbs;P+L;322,68;58,12;1,739462714;8,757295044;9,97;6,12;0,06190088;72,72;395,4;8,76;66,88;
26;B;M.a.;Leg;P+L;220,92;43,41;5,870373626;19,09353846;15,92;6,25;0,036052396;96,28;317,2;19,09;62,50;
27;B;T.p.;Leg;P+L;405,08;73,85;2,49068323;9,028726708;11,12;6,21;0,07571677;35,72;440,8;9,03;82,88;
28;B;L.c.;Leg;P+L;335,46;57,94;2,267533021;10,5022582;11,61;6,63;0,048214913;50,34;385,8;10,50;68,44;
29;B;M.s.;Leg;P+L;291,88;50,75;2,631280461;12,02871068;9,41;6,53;0,073675853;49,52;341,4;12,03;62,77;
30;B;T.r.;Leg;P+L;276,12;46,17;2,471015483;10,24567395;11,16;6,38;0,073768852;38,68;314,8;10,25;56,41;
32;B;F.o.;Grass;L;323,76;74,79;38,96110029;50,35740019;7,56;6,28;0,207412658;53,64;377,4;50,36;125,15;
33;B;A.o.;Grass;L;281,92;60,84;28,36840953;35,01836089;5,81;6,37;0,172049805;40,08;322;35,02;95,86;
34;B;D.g.;Grass;L;169,78;30,31;11,96149575;27,44539517;6,17;6,25;0,164965905;50,22;220;27,45;57,75;
35;B;H.l.;Grass;L;298,84;67,69;23,04833846;32,71846154;7,27;6,53;0,150650338;50,96;349,8;32,72;100,41;
36;B;G.v.;Forbs;L;263,26;49,76;23,7740625;34,5075;6,77;6,22;0,1136875;51,34;314,6;34,51;84,26;
38;B;P.l.;Forbs;L;279,76;58,59;35,71764526;44,97211009;6,95;6;0,183559633;50,64;330,4;44,97;103,56;
39;B;C.n.;Forbs;L;324,38;69,51;42,01731097;51,13217737;5,83;6,2;0,152951904;51,42;375,8;51,13;120,64;
40;B;R.a.;Forbs;L;258,38;53,99;32,47939262;41,2802603;6,06;6,17;0,146960521;54,22;312,6;41,28;95,27;
41;B;M.a.;Leg;L;282,7;65,12;28,94641136;34,786797;5,50;5,97;0,162362721;38,3;321;34,79;99,91;
42;B;T.p.;Leg;L;285,22;69,68;49,86237467;58,10174142;5,81;5,82;0,314232401;41,18;326,4;58,10;127,78;
43;B;L.c.;Leg;L;315,12;69,47;36,81879139;47,65629139;8,29;6,18;0,156749007;55,28;370,4;47,66;117,13;
44;B;M.s.;Leg;L;300,18;57,94;73,11623838;86,18567523;7,15;5,97;0,229441225;63,02;363,2;86,19;144,13;
45;B;T.r.;Leg;L;251,8;46,61;12,01630435;36,85;7,47;6,4;0,267417391;55,6;307,4;36,85;83,46;
46;B;;;T;254,7;43,51;61,52335112;73,88452958;5,19;5,7;0,135054704;50,1;304,8;73,88;117,40;
47;B;;;T;279,22;52,98;33,18199609;41,35420744;6,39;6,12;0,184861057;44,78;324;41,35;94,33;
1;C;N.s.;Grass;P;174,76;65,32;10,4287494;16,57843795;7,96;6,46;0,132066315;91,04;265,8;16,58;81,90;
